Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-Jan-25,4100,4134.65,4088,4112.8,4115.010869,29165,4490,120014292,9996,34.27,46.65,12.8
31-Dec-24,4123.55,4133.35,4034,4097.2,4072.193753,49909,7813,203239118,16235,32.53,99.35,-26.35
30-Dec-24,4174.9,4199,4112,4158.95,4149.95849,34498,5095,143165268,14565,42.22,87,-15.95
27-Dec-24,4162,4180.5,4149,4167.95,4167.016017,46264,7648,192782829,7118,15.39,31.5,5.95
26-Dec-24,4176,4192.3,4142.35,4168.6,4166.637202,28724,4309,119682487,11578,40.31,49.95,-7.4
24-Dec-24,4159.95,4217.3,4158.05,4180.65,4184.94315,38839,4108,162539007,9116,23.47,59.25,20.7
23-Dec-24,4199,4215.35,4115,4156.8,4147.678542,59196,4683,245525979,33074,55.87,100.35,-42.2
20-Dec-24,4310.1,4381.95,4152.95,4168.05,4208.292731,125781,10815,529323268,21361,16.98,229,-142.05
19-Dec-24,4283.85,4362.9,4262.4,4271.5,4310.404375,55639,6338,239826589,16486,29.63,100.5,-12.35
18-Dec-24,4324.35,4360,4295.95,4348.2,4333.334057,23020,3186,99753350,5441,23.64,64.05,23.85
17-Dec-24,4415.9,4430.45,4318,4324.4,4354.48942,53684,6413,233766410,16903,31.49,112.45,-91.5
16-Dec-24,4424.1,4473,4398.75,4415.9,4424.513327,34329,3858,151889118,14467,42.14,74.25,-8.2
13-Dec-24,4449,4493.8,4394.7,4473.6,4461.089065,184505,17851,823093238,76882,41.67,99.1,24.6
12-Dec-24,4444.95,4484.95,4427,4456.95,4464.416282,99704,9638,445120161,58176,58.35,57.95,12
11-Dec-24,4438.5,4449.9,4407.6,4427.55,4424.330309,38019,2780,168208614,17029,44.79,42.3,-10.95
10-Dec-24,4446.95,4494,4414.5,4431.95,4448.781979,40964,3078,182239905,6669,16.28,79.5,-15
9-Dec-24,4424,4470,4416.45,4452.05,4446.213292,81719,6976,363340104,47685,58.35,53.55,28.05
6-Dec-24,4450,4463.1,4413,4446.5,4440.800122,116291,10185,516425087,35725,30.72,50.1,-3.5
5-Dec-24,4365,4488,4360.2,4459.25,4420.008307,183703,23287,811968786,119976,65.31,127.8,94.25
4-Dec-24,4319.9,4386.4,4294.2,4355.1,4360.99919,38270,3660,166895439,10906,28.5,92.2,35.2
3-Dec-24,4300,4325.5,4266.55,4301.45,4296.294066,30653,3037,131694302,9182,29.95,58.95,1.45
2-Dec-24,4264.95,4287,4230,4272.95,4263.175152,40342,4837,171985012,18545,45.97,57,8
29-Nov-24,4219.95,4298,4196,4273.55,4269.887449,121945,11998,520691425,14052,11.52,102,53.6
28-Nov-24,4327.95,4340.1,4234,4248.05,4266.693339,46853,5301,199907383,12059,25.74,106.1,-79.9
27-Nov-24,4351.85,4377,4323.15,4332.1,4348.88464,33790,3531,146948812,10225,30.26,53.85,-19.75
26-Nov-24,4286.85,4364.55,4286.85,4351.85,4337.214181,75212,8773,326210553,40436,53.76,77.7,65
25-Nov-24,4293.95,4328,4253.9,4315.1,4293.523894,114861,10535,493158448,66195,57.63,74.1,21.15
22-Nov-24,4079.7,4254.5,4053.6,4245.75,4200.421941,228392,21203,959342768,79131,34.65,200.9,166.05
21-Nov-24,4089.95,4090,4025,4077.25,4071.102441,77479,4333,315424946,6540,8.44,65,-12.7
19-Nov-24,4028.85,4131,4015.85,4039.3,4084.574414,55789,6926,227874322,17651,31.64,115.15,10.45
18-Nov-24,4215,4215,3990.65,4019.5,4047.510769,96670,11433,391272866,39086,40.43,224.35,-195.5
14-Nov-24,4131.8,4160.35,4115.9,4146.15,4143.605455,150903,20514,625282494,15434,10.23,44.45,14.35
13-Nov-24,4186.75,4195,4131,4149.05,4157.819421,22090,2654,91846231,7102,32.15,64,-37.7
12-Nov-24,4200.15,4214,4165,4195.95,4194.948714,27766,3212,116476946,9195,33.12,49,-4.2
11-Nov-24,4134.95,4233.85,4119,4195.05,4192.487625,37213,4093,156015042,9924,26.67,114.85,60.1
8-Nov-24,4158.95,4169.15,4119.7,4145,4143.382753,114003,6174,472358064,21302,18.69,49.45,-13.95
7-Nov-24,4184,4205.25,4085.05,4149.4,4146.178502,44655,4625,185147601,13140,29.43,120.2,-34.6
6-Nov-24,4000.05,4149.8,3977,4138.8,4015.576501,426912,13175,1714297795,352725,82.62,172.8,138.75
5-Nov-24,3950,3985.5,3947.35,3971.75,3968.555978,26841,2991,106520011,10781,40.17,38.15,21.75
4-Nov-24,3969.95,3986.25,3915,3962.4,3950.053277,69842,9658,275879621,28856,41.32,71.25,-7.55
1-Nov-24,3992.95,3996,3979.75,3985.4,3987.911364,17194,4224,68568148,11609,67.52,16.25,-7.55
31-Oct-24,4058.45,4079.95,3959,3971.25,3987.890142,417913,25329,1666591133,226445,54.18,120.95,-87.2
30-Oct-24,4099.95,4107.8,4061.05,4085.6,4093.336125,39289,4574,160823083,17552,44.67,46.75,-14.35
29-Oct-24,4090.05,4101,4059.55,4077.15,4075.74468,100517,8340,409681628,63132,62.81,41.45,-12.9
28-Oct-24,4058.05,4133,4051.05,4093.05,4098.929948,77086,6764,315970114,43167,56,81.95,35
25-Oct-24,4069.9,4091.75,4034,4057.9,4065.017295,142063,15999,577488552,37424,26.34,57.75,-12
24-Oct-24,4016.35,4075.6,4016.35,4048.15,4046.319045,41480,5947,167841314,23661,57.04,59.25,31.8
23-Oct-24,3986.55,4113.65,3986.55,4066.75,4067.785752,70857,8269,288231095,32975,46.54,127.1,80.2
22-Oct-24,4054.05,4090,4008,4015.8,4064.844476,44932,3980,182641592,25599,56.97,82,-38.25
21-Oct-24,4125.05,4138.15,4062.85,4078.3,4093.431194,49298,4025,201797971,22010,44.65,75.3,-46.75
18-Oct-24,4109,4146.1,4090,4121.85,4122.92865,151716,10673,625514243,54990,36.25,56.1,12.85
17-Oct-24,4118.75,4129,4092.25,4106.2,4106.259364,70673,4192,290201668,45942,65.01,36.75,-12.55
16-Oct-24,4077.5,4114.6,4068.3,4094.8,4084.002826,97300,11782,397373475,57185,58.77,46.3,17.3
15-Oct-24,4145,4169,4095.5,4117.5,4116.589044,120743,11445,497049311,76940,63.72,73.5,-27.5
14-Oct-24,4145,4166.4,4121.95,4136.65,4142.265515,54607,7167,226196693,20699,37.91,44.45,-8.35
11-Oct-24,4140,4240,4112.65,4150.6,4155.440288,285561,26324,1186631684,62313,21.82,127.35,10.6
10-Oct-24,4248.05,4293.3,4200,4228.4,4254.312983,48517,4876,206406503,12825,26.43,93.3,-19.65
9-Oct-24,4274.65,4295,4245.65,4252.3,4271.238957,24745,2671,105691808,5824,23.54,49.35,-22.35
8-Oct-24,4270.85,4272.85,4205,4251.3,4232.136055,48326,4663,204522207,25318,52.39,67.85,-19.55
7-Oct-24,4265.05,4297.25,4229,4272.25,4256.023003,95249,7124,405381935,59142,62.09,68.25,7.2
4-Oct-24,4225,4299,4224.65,4249.1,4253.628777,226516,18243,963514976,31247,13.79,74.35,24.1
3-Oct-24,4277.95,4277.95,4209.3,4232.4,4228.759985,89286,4702,377569064,63762,71.41,68.65,-45.55
1-Oct-24,4255,4295.2,4243.1,4286.3,4265.090556,126596,9915,539943404,81848,64.65,52.1,31.3
30-Sep-24,4294.95,4296.45,4259.85,4268.4,4275.226424,52596,5920,224859809,16479,31.33,36.6,-26.55
27-Sep-24,4343.35,4378.45,4300.1,4309.05,4329.732482,86656,7721,375197298,17885,20.64,78.35,-34.3
26-Sep-24,4255,4316.35,4255,4291.25,4288.402442,66991,7429,287284368,24173,36.08,61.35,36.25
25-Sep-24,4257.95,4289,4240,4275.95,4261.677885,61267,7143,261100219,26701,43.58,49,18
24-Sep-24,4264.95,4290,4243.35,4272.4,4264.700639,25648,3394,109381042,11144,43.45,46.65,7.45
23-Sep-24,4286.05,4303.95,4252.7,4267.55,4273.054075,53740,7792,229633926,25741,47.9,51.25,-18.5
20-Sep-24,4320.95,4331.2,4226.6,4285.3,4272.557046,503940,34161,2153112398,91980,18.25,104.6,-35.65
19-Sep-24,4397.75,4421,4282.9,4296.85,4337.509238,81459,11615,353329165,31036,38.1,138.1,-100.9
18-Sep-24,4516.95,4516.95,4321.65,4346.6,4373.074881,68843,8119,301055594,38232,55.54,195.3,-170.35
17-Sep-24,4505.15,4535,4468.75,4503.65,4503.754145,17791,2394,80126290,4186,23.53,66.25,-1.5
16-Sep-24,4530,4544.8,4495.95,4513,4516.82679,16633,2232,75128380,4738,28.49,48.85,-17
13-Sep-24,4530,4546.5,4505.75,4522.25,4526.772169,126778,8245,573895122,13512,10.66,40.75,-7.75
12-Sep-24,4501.55,4530.2,4431.7,4517.2,4484.726285,39658,5462,177855275,17215,43.41,98.5,15.65
11-Sep-24,4520,4548,4473.6,4485.25,4507.850752,21662,2771,97649063,7474,34.5,74.4,-34.75
10-Sep-24,4453,4539.95,4441,4506.9,4483.829307,68749,7342,308258781,39208,57.03,98.95,53.9
9-Sep-24,4401.1,4490,4401.1,4453,4463.701371,39832,5474,177798153,20715,52.01,88.9,51.9
6-Sep-24,4479.95,4517.8,4440.25,4457.5,4462.106232,197568,18411,881569404,,,77.55,-22.45
5-Sep-24,4484,4498,4455,4480.35,4469.237685,26026,4237,116316380,10808,41.53,43,-3.65
4-Sep-24,4479,4486.45,4438.35,4479.65,4471.835817,91069,3311,407245616,68264,74.96,48.1,0.65
3-Sep-24,4540.1,4555,4495.5,4512.2,4529.167366,73169,2897,331394647,60848,83.16,59.5,-27.9
2-Sep-24,4584.85,4585.9,4513.75,4520.85,4548.895102,28256,3413,128533580,13142,46.51,72.15,-64
30-Aug-24,4513.05,4580,4488.7,4551.85,4542.150592,141415,14226,642328226,23220,16.42,91.3,38.8
